case_id,case_number,created_date,closed_date,agent_id,queue_id,status_id,channel_id,risk_band_id,case_amount,risk_score,sla_due_date,sla_met_flag,escalation_flag,reopened_flag,suspicious_flag,resolution_minutes
1,FC-202500001,2025-03-23,2025-03-23,9,4,4,3,1,1270.34,17,2025-03-23,0,1,0,0,943.0
2,FC-202500002,2025-03-11,,5,3,2,2,1,298.66,27,2025-03-11,0,1,0,0,
3,FC-202500003,2025-03-13,2025-03-13,3,4,4,3,1,3365.36,34,2025-03-13,1,0,0,0,710.0
4,FC-202500004,2025-04-08,2025-04-08,3,1,4,3,3,481.65,83,2025-04-08,1,1,0,0,163.0
5,FC-202500005,2025-01-12,2025-01-12,8,1,4,2,2,1010.06,51,2025-01-12,1,0,0,0,100.0
6,FC-202500006,2025-03-10,,10,1,2,4,1,1693.92,24,2025-03-10,0,0,0,0,
7,FC-202500007,2025-02-16,,10,3,2,1,2,358.8,62,2025-02-16,0,0,0,0,
8,FC-202500008,2025-04-20,2025-04-20,1,3,4,2,1,461.03,6,2025-04-20,0,0,0,0,658.0
9,FC-202500009,2025-02-15,2025-02-16,3,2,5,4,1,497.73,17,2025-02-16,0,0,1,0,1851.0
10,FC-202500010,2025-03-10,2025-03-10,7,3,4,4,3,473.32,75,2025-03-10,0,1,0,0,537.0
11,FC-202500011,2025-01-29,2025-01-29,8,3,5,2,3,472.7,71,2025-01-29,0,1,1,1,699.0
12,FC-202500012,2025-01-28,2025-01-28,7,1,4,3,4,502.56,99,2025-01-28,0,1,0,0,363.0
13,FC-202500013,2025-04-28,2025-04-28,10,2,4,2,2,1703.24,44,2025-04-29,1,0,0,0,796.0
14,FC-202500014,2025-03-16,2025-03-17,6,2,4,1,2,9901.9,58,2025-03-17,0,0,0,0,1849.0
15,FC-202500015,2025-01-12,,6,3,2,2,3,1579.12,73,2025-01-12,0,1,0,0,
16,FC-202500016,2025-02-19,2025-02-19,1,1,4,4,2,327.61,54,2025-02-19,1,0,0,0,93.0
17,FC-202500017,2025-04-03,2025-04-03,5,1,4,4,1,536.69,34,2025-04-03,0,0,0,0,317.0
18,FC-202500018,2025-01-21,2025-01-21,9,4,4,4,2,293.68,63,2025-01-21,0,0,0,0,1057.0
19,FC-202500019,2025-04-27,2025-04-27,6,1,4,3,1,441.76,19,2025-04-27,1,0,0,0,220.0
