work_date,agent_id,queue_id,cases_opened,cases_closed,breaches,avg_resolution_minutes
2025-01-01,3,1,1,1,0,141
2025-01-01,10,3,0,0,0,115
2025-01-01,7,3,4,3,0,153
2025-01-01,5,1,0,0,0,274
2025-01-02,5,3,2,2,2,96
2025-01-02,2,1,0,0,0,213
2025-01-02,6,3,1,1,0,182
2025-01-02,1,4,2,2,1,130
2025-01-03,6,2,3,2,1,302
2025-01-03,5,3,2,2,0,277
2025-01-03,2,1,1,1,0,218
2025-01-03,3,1,1,1,0,80
2025-01-04,4,3,1,1,1,240
2025-01-04,9,2,2,1,0,145
2025-01-04,5,2,2,1,1,202
2025-01-04,10,2,2,1,0,143
2025-01-05,10,3,1,0,0,150
2025-01-05,6,3,1,1,0,154
2025-01-05,3,3,2,1,0,139
2025-01-05,5,3,2,2,1,46
2025-01-06,9,3,3,3,1,91
2025-01-06,2,3,1,1,0,248
2025-01-06,8,2,2,2,0,270
2025-01-06,1,3,3,1,0,204
2025-01-07,9,1,2,2,0,232
2025-01-07,6,2,2,2,0,261
2025-01-07,1,3,3,1,0,190
2025-01-07,3,3,1,0,0,338
2025-01-08,9,1,5,4,1,275
2025-01-08,7,3,3,0,0,149
2025-01-08,10,4,1,0,0,183
2025-01-08,1,2,2,2,1,245
2025-01-09,9,4,0,0,0,231
2025-01-09,5,2,2,1,0,40
2025-01-09,8,1,1,1,0,30
2025-01-09,3,1,3,3,0,176
2025-01-10,9,1,2,2,0,180
2025-01-10,3,2,1,1,0,189
2025-01-10,6,1,2,2,0,137
2025-01-10,7,1,3,3,0,186
2025-01-11,8,1,1,0,0,171
2025-01-11,9,1,2,2,0,211
2025-01-11,3,2,2,2,0,185
2025-01-11,7,4,1,1,0,172
2025-01-12,6,4,3,3,0,140
2025-01-12,9,4,1,1,0,123
2025-01-12,8,1,0,0,0,79
2025-01-12,1,2,3,3,0,285
2025-01-13,4,1,2,2,0,192
2025-01-13,6,1,1,0,0,174
2025-01-13,7,1,4,4,0,99
2025-01-13,2,3,1,0,0,224
2025-01-14,4,4,1,1,0,82
2025-01-14,10,4,3,3,0,213
2025-01-14,1,3,5,2,0,203
2025-01-14,6,1,0,0,0,37
2025-01-15,3,4,1,1,0,88
2025-01-15,7,4,2,1,0,132
2025-01-15,2,1,3,3,0,145
2025-01-15,4,1,2,1,0,187
2025-01-16,7,2,0,0,0,298
2025-01-16,3,1,1,0,0,177
2025-01-16,1,1,3,3,0,175
2025-01-16,8,4,1,0,0,217
2025-01-17,8,2,5,4,0,229
2025-01-17,3,1,0,0,0,188
2025-01-17,6,2,4,2,1,236
2025-01-17,4,4,0,0,0,149
2025-01-18,8,4,1,1,0,255
2025-01-18,10,1,0,0,0,126
2025-01-18,1,1,3,1,0,184
2025-01-18,5,2,5,4,1,243
2025-01-19,2,4,4,3,0,161
2025-01-19,8,2,1,1,0,131
2025-01-19,10,3,0,0,0,63
2025-01-19,7,4,3,3,0,107
2025-01-20,8,1,4,1,0,189
2025-01-20,2,4,2,2,0,209
2025-01-20,9,3,2,2,1,265
2025-01-20,6,4,1,0,0,145
2025-01-21,2,2,1,1,0,129
2025-01-21,3,4,2,1,1,189
2025-01-21,8,3,4,3,0,233
2025-01-21,4,2,1,1,0,122
2025-01-22,3,2,0,0,0,30
2025-01-22,2,4,3,2,0,127
2025-01-22,10,3,8,6,1,169
2025-01-22,7,3,2,1,0,188
2025-01-23,6,3,1,1,0,181
2025-01-23,9,3,2,1,0,185
2025-01-23,3,4,4,2,0,190
2025-01-23,10,2,0,0,0,204
2025-01-24,10,4,1,1,0,151
2025-01-24,5,3,4,2,0,187
2025-01-24,9,2,0,0,0,273
2025-01-24,8,3,2,0,0,176
2025-01-25,6,2,2,1,0,247
2025-01-25,2,2,2,2,1,258
2025-01-25,4,3,2,2,1,233
2025-01-25,9,4,1,1,0,167
2025-01-26,9,3,4,2,1,214
2025-01-26,5,2,2,2,1,206
2025-01-26,10,4,3,3,1,98
2025-01-26,8,4,1,1,0,161
2025-01-27,5,3,2,2,0,152
2025-01-27,3,1,2,1,0,34
2025-01-27,10,3,0,0,0,164
2025-01-27,2,3,2,1,0,155
2025-01-28,10,1,1,1,0,165
2025-01-28,3,2,0,0,0,139
2025-01-28,9,3,1,1,0,145
2025-01-28,8,4,1,1,0,214
2025-01-29,9,1,0,0,0,183
2025-01-29,7,4,4,2,0,141
2025-01-29,2,2,4,3,1,140
2025-01-29,8,3,3,3,1,150
2025-01-30,1,2,3,3,2,182
2025-01-30,2,3,2,2,0,187
2025-01-30,3,2,4,3,0,193
2025-01-30,4,4,3,1,0,242
2025-01-31,5,4,3,2,0,142
2025-01-31,2,2,2,2,1,203
2025-01-31,4,3,2,2,1,226
2025-01-31,9,4,2,2,1,30
2025-02-01,3,1,2,1,0,177
2025-02-01,10,3,1,1,0,208
2025-02-01,7,3,2,2,0,129
2025-02-01,5,1,1,1,0,211
2025-02-02,5,3,5,5,0,182
2025-02-02,2,1,1,1,0,138
2025-02-02,6,3,3,3,2,188
2025-02-02,1,4,3,2,0,207
2025-02-03,6,2,0,0,0,123
2025-02-03,5,3,2,1,0,218
2025-02-03,2,1,2,1,1,178
2025-02-03,3,1,3,1,0,300
2025-02-04,4,3,2,2,0,198
2025-02-04,9,2,1,0,0,134
2025-02-04,5,2,4,2,0,251
2025-02-04,10,2,5,4,0,106
2025-02-05,10,3,1,1,0,120
2025-02-05,6,3,1,1,0,50
2025-02-05,3,3,3,3,1,30
2025-02-05,5,3,0,0,0,317
2025-02-06,9,3,2,2,0,220
2025-02-06,2,3,2,2,0,214
2025-02-06,8,2,3,3,1,134
2025-02-06,1,3,1,1,0,163
2025-02-07,9,1,2,1,0,143
2025-02-07,6,2,0,0,0,84
2025-02-07,1,3,1,1,0,189
2025-02-07,3,3,2,1,0,123
2025-02-08,9,1,0,0,0,187
2025-02-08,7,3,3,2,0,212
2025-02-08,10,4,3,2,0,162
2025-02-08,1,2,1,1,0,254
2025-02-09,9,4,1,1,0,168
2025-02-09,5,2,0,0,0,172
2025-02-09,8,1,2,2,0,198
2025-02-09,3,1,1,1,0,179
2025-02-10,9,1,3,3,1,82
2025-02-10,3,2,0,0,0,213
2025-02-10,6,1,2,2,0,182
2025-02-10,7,1,0,0,0,133
2025-02-11,8,1,1,0,0,207
2025-02-11,9,1,1,1,1,307
2025-02-11,3,2,3,3,0,120
2025-02-11,7,4,1,1,0,217
2025-02-12,6,4,4,3,0,252
2025-02-12,9,4,2,1,0,188
2025-02-12,8,1,3,3,0,137
2025-02-12,1,2,3,2,0,165
2025-02-13,4,1,5,2,0,153
2025-02-13,6,1,5,4,0,249
2025-02-13,7,1,4,4,1,178
2025-02-13,2,3,2,2,0,229
2025-02-14,4,4,1,1,0,210
2025-02-14,10,4,1,1,0,183
2025-02-14,1,3,0,0,0,212
2025-02-14,6,1,1,1,0,103
2025-02-15,3,4,1,0,0,188
2025-02-15,7,4,2,2,0,159
2025-02-15,2,1,0,0,0,180
2025-02-15,4,1,4,3,0,136
2025-02-16,7,2,0,0,0,97
2025-02-16,3,1,2,1,0,166
2025-02-16,1,1,0,0,0,156
2025-02-16,8,4,2,2,0,179
2025-02-17,8,2,0,0,0,179
2025-02-17,3,1,0,0,0,214
2025-02-17,6,2,2,2,0,250
2025-02-17,4,4,2,2,1,128
2025-02-18,8,4,5,4,1,309
2025-02-18,10,1,4,3,0,143
2025-02-18,1,1,3,3,1,131
2025-02-18,5,2,1,0,0,257
2025-02-19,2,4,1,1,0,251
2025-02-19,8,2,1,1,1,223
2025-02-19,10,3,3,3,0,259
2025-02-19,7,4,2,0,0,213
2025-02-20,8,1,4,2,1,128
2025-02-20,2,4,2,2,0,201
2025-02-20,9,3,3,3,0,198
2025-02-20,6,4,5,3,0,228
2025-02-21,2,2,4,3,2,174
2025-02-21,3,4,2,2,1,174
2025-02-21,8,3,3,3,0,225
2025-02-21,4,2,2,2,0,202
2025-02-22,3,2,3,3,1,195
2025-02-22,2,4,2,2,1,95
2025-02-22,10,3,1,0,0,93
2025-02-22,7,3,1,0,0,113
2025-02-23,6,3,3,1,0,94
2025-02-23,9,3,1,1,0,74
2025-02-23,3,4,1,1,0,146
2025-02-23,10,2,3,2,1,191
2025-02-24,10,4,2,2,0,246
2025-02-24,5,3,3,3,0,141
2025-02-24,9,2,1,1,0,191
2025-02-24,8,3,3,3,1,214
2025-02-25,6,2,2,2,0,188
2025-02-25,2,2,2,2,1,73
2025-02-25,4,3,2,2,0,178
2025-02-25,9,4,3,2,0,286
2025-02-26,9,3,3,3,0,127
2025-02-26,5,2,2,1,0,130
2025-02-26,10,4,1,1,0,186
2025-02-26,8,4,2,2,0,112
2025-02-27,5,3,3,3,0,227
2025-02-27,3,1,1,1,1,104
2025-02-27,10,3,2,2,0,217
2025-02-27,2,3,2,1,0,153
2025-02-28,10,1,0,0,0,130
2025-02-28,3,2,2,0,0,185
2025-02-28,9,3,3,2,0,181
2025-02-28,8,4,2,1,0,136
2025-03-01,3,1,1,1,0,93
2025-03-01,10,3,4,1,0,185
2025-03-01,7,3,0,0,0,232
2025-03-01,5,1,2,1,0,175
2025-03-02,5,3,3,2,0,201
2025-03-02,2,1,4,4,1,262
2025-03-02,6,3,4,1,0,147
2025-03-02,1,4,2,2,0,149
2025-03-03,6,2,0,0,0,181
2025-03-03,5,3,5,3,0,264
2025-03-03,2,1,1,1,0,214
2025-03-03,3,1,0,0,0,199
2025-03-04,4,3,2,2,0,161
2025-03-04,9,2,2,2,1,62
2025-03-04,5,2,1,1,0,165
2025-03-04,10,2,1,1,0,157
2025-03-05,10,3,3,2,1,125
2025-03-05,6,3,3,3,1,199
2025-03-05,3,3,2,1,0,63
2025-03-05,5,3,1,1,0,187
2025-03-06,9,3,5,2,0,122
2025-03-06,2,3,3,3,2,189
2025-03-06,8,2,0,0,0,166
2025-03-06,1,3,5,2,0,205
2025-03-07,9,1,2,1,0,202
2025-03-07,6,2,0,0,0,290
2025-03-07,1,3,0,0,0,227
2025-03-07,3,3,1,1,0,83
2025-03-08,9,1,5,5,0,184
2025-03-08,7,3,0,0,0,249
2025-03-08,10,4,1,1,1,238
2025-03-08,1,2,3,3,0,210
2025-03-09,9,4,4,3,0,119
2025-03-09,5,2,1,1,0,226
2025-03-09,8,1,5,5,0,153
2025-03-09,3,1,0,0,0,47
2025-03-10,9,1,2,2,0,89
2025-03-10,3,2,1,1,0,225
2025-03-10,6,1,1,1,0,199
2025-03-10,7,1,3,3,0,260
2025-03-11,8,1,0,0,0,244
2025-03-11,9,1,3,3,0,181
2025-03-11,3,2,3,2,0,151
2025-03-11,7,4,1,1,0,188
2025-03-12,6,4,0,0,0,50
2025-03-12,9,4,0,0,0,136
2025-03-12,8,1,1,1,0,190
2025-03-12,1,2,3,2,1,206
2025-03-13,4,1,3,1,0,111
2025-03-13,6,1,0,0,0,186
2025-03-13,7,1,2,2,0,62
2025-03-13,2,3,4,3,0,223
2025-03-14,4,4,2,1,0,70
2025-03-14,10,4,2,1,0,138
2025-03-14,1,3,1,1,0,161
2025-03-14,6,1,1,1,0,226
2025-03-15,3,4,1,1,0,237
2025-03-15,7,4,1,0,0,276
2025-03-15,2,1,2,2,0,212
2025-03-15,4,1,1,1,0,180
2025-03-16,7,2,1,0,0,71
2025-03-16,3,1,1,0,0,158
2025-03-16,1,1,5,2,0,85
2025-03-16,8,4,1,1,0,112
2025-03-17,8,2,3,3,0,169
2025-03-17,3,1,3,2,0,151
2025-03-17,6,2,3,0,0,197
2025-03-17,4,4,2,2,0,233
2025-03-18,8,4,2,0,0,195
2025-03-18,10,1,2,1,0,208
2025-03-18,1,1,4,3,2,247
2025-03-18,5,2,2,2,0,176
2025-03-19,2,4,2,1,0,176
2025-03-19,8,2,4,4,1,197
2025-03-19,10,3,3,1,0,319
2025-03-19,7,4,1,1,0,191
2025-03-20,8,1,2,2,0,142
2025-03-20,2,4,2,0,0,231
2025-03-20,9,3,3,2,1,141
2025-03-20,6,4,6,5,0,205
2025-03-21,2,2,2,2,0,66
2025-03-21,3,4,0,0,0,192
2025-03-21,8,3,2,2,0,120
2025-03-21,4,2,3,1,0,134
2025-03-22,3,2,1,1,1,80
2025-03-22,2,4,1,0,0,252
2025-03-22,10,3,2,1,0,113
2025-03-22,7,3,5,3,0,226
2025-03-23,6,3,2,1,0,130
2025-03-23,9,3,0,0,0,247
2025-03-23,3,4,0,0,0,160
2025-03-23,10,2,1,1,0,189
2025-03-24,10,4,1,1,0,151
2025-03-24,5,3,4,1,0,232
2025-03-24,9,2,2,1,0,237
2025-03-24,8,3,5,3,0,254
2025-03-25,6,2,0,0,0,180
2025-03-25,2,2,2,2,0,216
2025-03-25,4,3,0,0,0,254
2025-03-25,9,4,2,2,1,160
2025-03-26,9,3,2,2,0,256
2025-03-26,5,2,2,1,0,228
2025-03-26,10,4,2,2,0,75
2025-03-26,8,4,1,1,0,187
2025-03-27,5,3,0,0,0,166
2025-03-27,3,1,2,2,0,30
2025-03-27,10,3,3,2,0,206
2025-03-27,2,3,0,0,0,181
2025-03-28,10,1,2,2,0,238
2025-03-28,3,2,2,2,0,135
